industry_id,name
8d9636a5-b58d-4476-aa34-adaf55917ddc,Information Technology
8ab76203-671f-4ce8-9082-4d1abc848c6c,Finance & Banking
6cd7d035-375b-4ed7-be57-86d9cfefd68f,Healthcare
75dae6b2-21b0-4bce-9147-15539bbe9a7e,Education
5201a91a-61ae-42a4-a4bc-53b6797f6a46,Manufacturing
14a2f180-c08a-4799-8b23-2c8e417903a4,Retail
df5d3f84-221b-4706-b6e1-d2678e7fb339,Telecom
8eb15e1d-1907-4904-8a33-db76940f3a57,Construction
bdf207b3-a4af-49b3-b56f-21da234c76b4,Media & Advertising
3f63efb4-8442-4057-a292-742c27f8c348,Logistics
8e3471e2-b658-421d-ab09-4e0a23a00f40,Energy
073051ba-089b-4559-8557-ad95880b2752,Real Estate
